IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.219.159,4,4,0.00,347.29,0.00
104.16.8.209,4,4,0.00,348.70,0.00
104.17.103.145,4,4,0.00,348.80,0.00
104.18.7.222,4,4,0.00,349.06,0.00
104.17.181.219,4,4,0.00,349.51,0.00
104.17.126.123,4,4,0.00,350.23,0.00
104.19.36.104,4,4,0.00,350.74,0.00
104.16.202.202,4,4,0.00,351.56,0.00
104.16.185.161,4,4,0.00,352.00,0.00
104.18.160.136,4,4,0.00,352.20,0.00
104.19.219.73,4,4,0.00,352.23,0.00
104.18.73.219,4,4,0.00,352.57,0.00
104.17.9.229,4,4,0.00,352.74,0.00
104.18.67.51,4,4,0.00,352.93,0.00
104.19.65.64,4,4,0.00,353.38,0.00
104.17.193.205,4,4,0.00,353.42,0.00
104.19.39.230,4,4,0.00,353.46,0.00
104.17.7.237,4,4,0.00,353.68,0.00
104.17.194.100,4,4,0.00,353.93,0.00
104.16.82.254,4,4,0.00,354.02,0.00
104.16.235.164,4,4,0.00,354.09,0.00
104.17.10.39,4,4,0.00,354.23,0.00
104.18.153.243,4,4,0.00,355.43,0.00
104.16.214.230,4,4,0.00,355.43,0.00
104.16.55.96,4,4,0.00,355.69,0.00
104.18.242.154,4,4,0.00,355.84,0.00
104.18.72.214,4,4,0.00,355.87,0.00
104.16.145.129,4,4,0.00,356.34,0.00
104.19.234.147,4,4,0.00,357.02,0.00
104.16.25.169,4,4,0.00,357.79,0.00
104.19.73.51,4,4,0.00,357.88,0.00
104.18.81.60,4,4,0.00,357.98,0.00
104.19.108.123,4,4,0.00,361.22,0.00
104.16.2.218,4,4,0.00,361.67,0.00
104.19.5.205,4,4,0.00,361.71,0.00
104.18.95.198,4,4,0.00,362.85,0.00
104.18.5.230,4,4,0.00,363.00,0.00
104.17.53.178,4,4,0.00,363.69,0.00
104.16.221.160,4,4,0.00,365.09,0.00
104.16.254.153,4,4,0.00,365.42,0.00
104.18.70.60,4,4,0.00,365.59,0.00
104.19.68.81,4,4,0.00,366.03,0.00
104.19.149.28,4,4,0.00,366.64,0.00
104.18.46.87,4,4,0.00,366.69,0.00
104.16.132.31,4,4,0.00,367.32,0.00
104.19.145.133,4,4,0.00,367.34,0.00
104.16.37.220,4,4,0.00,368.05,0.00
104.19.236.17,4,4,0.00,368.20,0.00
104.18.243.222,4,4,0.00,368.29,0.00
104.17.54.9,4,4,0.00,368.50,0.00
104.18.254.183,4,4,0.00,369.07,0.00
104.16.212.156,4,4,0.00,369.19,0.00
104.19.182.88,4,4,0.00,369.42,0.00
104.17.202.101,4,4,0.00,369.98,0.00
104.16.222.143,4,4,0.00,372.53,0.00
104.19.114.233,4,4,0.00,372.94,0.00
104.16.13.166,4,4,0.00,373.34,0.00
104.18.172.80,4,4,0.00,373.66,0.00
104.19.220.91,4,4,0.00,375.40,0.00
104.19.218.165,4,4,0.00,376.11,0.00
104.17.216.242,4,4,0.00,377.39,0.00
104.17.209.46,4,4,0.00,378.24,0.00
104.19.151.196,4,4,0.00,378.76,0.00
104.16.65.157,4,4,0.00,379.11,0.00
104.19.144.194,4,4,0.00,379.63,0.00
104.17.212.42,4,4,0.00,380.90,0.00
104.16.31.146,4,4,0.00,382.98,0.00
104.18.1.73,4,4,0.00,383.10,0.00
104.16.141.148,4,4,0.00,385.03,0.00
104.17.227.154,4,4,0.00,387.44,0.00
104.18.82.169,4,4,0.00,388.45,0.00
104.16.131.232,4,4,0.00,389.50,0.00
104.16.156.40,4,4,0.00,392.54,0.00
104.17.210.59,4,4,0.00,392.58,0.00
104.16.162.110,4,4,0.00,394.36,0.00
104.19.118.161,4,4,0.00,403.69,0.00
104.19.57.49,4,4,0.00,516.73,0.00
104.18.62.245,4,3,0.25,155.85,0.00
104.19.240.114,4,3,0.25,157.82,0.00
104.18.126.173,4,3,0.25,158.28,0.00
104.19.138.172,4,3,0.25,158.42,0.00
104.21.228.24,4,3,0.25,158.60,0.00
104.18.24.196,4,3,0.25,158.99,0.00
104.19.133.250,4,3,0.25,159.34,0.00
104.19.136.27,4,3,0.25,159.45,0.00
104.19.139.35,4,3,0.25,159.46,0.00
104.19.246.98,4,3,0.25,159.90,0.00
104.21.224.139,4,3,0.25,160.02,0.00
104.18.114.12,4,3,0.25,160.33,0.00
104.18.20.218,4,3,0.25,160.61,0.00
104.19.134.140,4,3,0.25,160.86,0.00
104.19.128.43,4,3,0.25,161.06,0.00
104.18.125.118,4,3,0.25,161.11,0.00
104.19.129.22,4,3,0.25,161.96,0.00
104.19.135.123,4,3,0.25,162.07,0.00
104.19.78.72,4,3,0.25,162.53,0.00
104.19.131.76,4,3,0.25,162.84,0.00
104.18.123.116,4,3,0.25,163.17,0.00
104.19.132.102,4,3,0.25,163.75,0.00
104.19.141.81,4,3,0.25,165.12,0.00
104.21.226.225,4,3,0.25,165.77,0.00
104.16.126.125,4,3,0.25,166.21,0.00
104.16.118.139,4,3,0.25,166.76,0.00
104.16.119.37,4,3,0.25,166.91,0.00
104.19.67.147,4,3,0.25,167.62,0.00
104.16.121.94,4,3,0.25,167.99,0.00
104.16.122.196,4,3,0.25,169.48,0.00
104.16.125.203,4,3,0.25,170.79,0.00
104.16.114.184,4,3,0.25,171.27,0.00
104.16.117.109,4,3,0.25,171.47,0.00
104.16.113.248,4,3,0.25,172.70,0.00
104.16.115.78,4,3,0.25,177.27,0.00
104.21.126.49,4,3,0.25,184.08,0.00
104.21.124.91,4,3,0.25,187.20,0.00
104.21.24.246,4,3,0.25,187.45,0.00
104.21.50.50,4,3,0.25,190.12,0.00
104.21.63.219,4,3,0.25,190.68,0.00
104.21.51.246,4,3,0.25,190.78,0.00
104.21.123.43,4,3,0.25,190.99,0.00
104.21.112.218,4,3,0.25,191.09,0.00
104.21.73.202,4,3,0.25,191.45,0.00
104.21.58.92,4,3,0.25,191.94,0.00
104.21.53.67,4,3,0.25,192.47,0.00
104.21.208.192,4,3,0.25,193.97,0.00
104.21.217.43,4,3,0.25,194.38,0.00
104.21.52.172,4,3,0.25,194.60,0.00
104.21.45.112,4,3,0.25,195.05,0.00
104.21.49.101,4,3,0.25,195.11,0.00
104.21.127.46,4,3,0.25,196.58,0.00
104.21.1.163,4,3,0.25,196.90,0.00
104.21.47.154,4,3,0.25,198.27,0.00
104.21.41.218,4,3,0.25,198.40,0.00
104.21.125.79,4,3,0.25,198.45,0.00
104.21.113.76,4,3,0.25,199.20,0.00
104.21.46.174,4,3,0.25,199.25,0.00
104.21.104.205,4,3,0.25,199.68,0.00
104.21.12.227,4,3,0.25,200.83,0.00
104.21.101.250,4,3,0.25,201.57,0.00
104.21.20.125,4,3,0.25,203.12,0.00
104.21.205.86,4,3,0.25,204.29,0.00
104.21.81.74,4,3,0.25,205.34,0.00
104.21.62.233,4,3,0.25,205.53,0.00
104.19.46.4,4,3,0.25,207.06,0.00
104.21.28.71,4,3,0.25,208.40,0.00
104.19.34.90,4,3,0.25,209.73,0.00
104.27.44.251,4,3,0.25,211.92,0.00
104.25.25.111,4,3,0.25,211.94,0.00
104.20.71.142,4,3,0.25,212.03,0.00
104.25.250.223,4,3,0.25,212.04,0.00
104.25.177.128,4,3,0.25,212.29,0.00
104.20.6.150,4,3,0.25,212.48,0.00
104.27.96.52,4,3,0.25,213.33,0.00
104.24.147.68,4,3,0.25,213.54,0.00
104.22.68.77,4,3,0.25,213.62,0.00
104.22.32.170,4,3,0.25,213.82,0.00
104.24.251.91,4,3,0.25,213.83,0.00
104.20.182.42,4,3,0.25,213.85,0.00
104.20.176.49,4,3,0.25,213.92,0.00
104.27.126.209,4,3,0.25,213.92,0.00
104.27.65.29,4,3,0.25,214.06,0.00
104.16.87.45,4,3,0.25,214.08,0.00
104.24.83.81,4,3,0.25,214.29,0.00
104.20.145.151,4,3,0.25,214.31,0.00
104.22.55.10,4,3,0.25,214.33,0.00
104.27.20.186,4,3,0.25,214.55,0.00
104.24.84.95,4,3,0.25,214.60,0.00
104.24.80.38,4,3,0.25,214.80,0.00
104.20.131.208,4,3,0.25,214.83,0.00
104.25.8.126,4,3,0.25,214.90,0.00
104.25.5.87,4,3,0.25,214.92,0.00
104.20.232.224,4,3,0.25,214.94,0.00
104.25.241.173,4,3,0.25,215.31,0.00
104.20.122.40,4,3,0.25,215.44,0.00
104.25.107.65,4,3,0.25,215.47,0.00
104.25.240.174,4,3,0.25,215.55,0.00
104.27.46.226,4,3,0.25,215.60,0.00
104.27.199.11,4,3,0.25,215.70,0.00
104.23.104.88,4,3,0.25,215.82,0.00
104.20.123.155,4,3,0.25,215.88,0.00
104.19.50.55,4,3,0.25,215.92,0.00
104.24.243.245,4,3,0.25,216.06,0.00
104.25.247.97,4,3,0.25,216.13,0.00
104.24.73.205,4,3,0.25,216.32,0.00
104.25.147.53,4,3,0.25,216.33,0.00
104.20.120.134,4,3,0.25,216.50,0.00
104.23.107.127,4,3,0.25,216.56,0.00
104.25.136.48,4,3,0.25,216.62,0.00
104.24.161.67,4,3,0.25,216.62,0.00
104.20.45.185,4,3,0.25,216.65,0.00
104.25.218.68,4,3,0.25,216.80,0.00
104.20.26.185,4,3,0.25,216.84,0.00
104.27.42.234,4,3,0.25,216.92,0.00
104.23.143.125,4,3,0.25,216.99,0.00
104.27.82.254,4,3,0.25,217.22,0.00
104.27.97.91,4,3,0.25,217.23,0.00
104.27.16.109,4,3,0.25,217.26,0.00
104.25.73.110,4,3,0.25,217.34,0.00
104.20.237.189,4,3,0.25,217.37,0.00
104.25.254.135,4,3,0.25,217.52,0.00
104.25.220.246,4,3,0.25,217.55,0.00
104.24.67.177,4,3,0.25,217.77,0.00
104.20.153.5,4,3,0.25,217.86,0.00
104.24.11.138,4,3,0.25,217.88,0.00
104.24.252.200,4,3,0.25,217.90,0.00
104.25.249.125,4,3,0.25,217.96,0.00
104.24.76.180,4,3,0.25,217.99,0.00
104.23.137.89,4,3,0.25,218.02,0.00
104.27.21.243,4,3,0.25,218.07,0.00
104.24.35.219,4,3,0.25,218.28,0.00
104.25.54.183,4,3,0.25,218.39,0.00
104.27.79.39,4,3,0.25,218.53,0.00
104.20.224.244,4,3,0.25,218.74,0.00
104.20.203.222,4,3,0.25,218.84,0.00
104.24.255.187,4,3,0.25,218.90,0.00
104.25.201.221,4,3,0.25,218.93,0.00
104.24.78.250,4,3,0.25,219.04,0.00
104.20.241.94,4,3,0.25,219.07,0.00
104.24.22.107,4,3,0.25,219.11,0.00
104.20.204.143,4,3,0.25,219.37,0.00
104.24.41.239,4,3,0.25,219.49,0.00
104.27.90.252,4,3,0.25,219.52,0.00
104.27.41.182,4,3,0.25,219.52,0.00
104.27.49.228,4,3,0.25,219.53,0.00
104.25.20.239,4,3,0.25,219.70,0.00
104.22.67.52,4,3,0.25,219.70,0.00
104.24.245.123,4,3,0.25,219.74,0.00
104.25.149.209,4,3,0.25,219.94,0.00
104.20.118.127,4,3,0.25,219.99,0.00
104.23.97.103,4,3,0.25,220.09,0.00
104.20.200.65,4,3,0.25,220.09,0.00
104.27.86.189,4,3,0.25,220.10,0.00
104.20.39.142,4,3,0.25,220.12,0.00
104.25.10.84,4,3,0.25,220.27,0.00
104.27.204.233,4,3,0.25,220.34,0.00
104.24.89.233,4,3,0.25,220.35,0.00
104.20.222.192,4,3,0.25,220.43,0.00
104.24.128.202,4,3,0.25,220.48,0.00
104.22.51.117,4,3,0.25,220.52,0.00
104.22.52.33,4,3,0.25,220.52,0.00
104.25.53.200,4,3,0.25,220.76,0.00
104.20.130.171,4,3,0.25,220.85,0.00
104.25.131.249,4,3,0.25,220.90,0.00
104.24.156.249,4,3,0.25,220.96,0.00
104.24.23.115,4,3,0.25,221.06,0.00
104.20.171.245,4,3,0.25,221.09,0.00
104.20.57.157,4,3,0.25,221.10,0.00
104.27.56.14,4,3,0.25,221.23,0.00
104.24.65.245,4,3,0.25,221.32,0.00
104.20.32.200,4,3,0.25,221.33,0.00
104.25.85.181,4,3,0.25,221.39,0.00
104.19.115.145,4,3,0.25,221.44,0.00
104.25.7.78,4,3,0.25,221.55,0.00
104.25.44.34,4,3,0.25,221.68,0.00
104.27.10.89,4,3,0.25,221.88,0.00
104.25.244.125,4,3,0.25,221.92,0.00
104.27.203.155,4,3,0.25,221.93,0.00
104.20.27.226,4,3,0.25,222.05,0.00
104.25.64.155,4,3,0.25,222.25,0.00
104.24.47.174,4,3,0.25,222.26,0.00
104.25.4.180,4,3,0.25,222.34,0.00
104.20.3.45,4,3,0.25,222.42,0.00
104.24.68.178,4,3,0.25,222.44,0.00
104.22.54.46,4,3,0.25,222.46,0.00
104.25.2.53,4,3,0.25,222.60,0.00
104.25.246.145,4,3,0.25,222.61,0.00
104.22.45.57,4,3,0.25,222.68,0.00
104.25.245.151,4,3,0.25,222.68,0.00
104.24.162.69,4,3,0.25,222.75,0.00
104.22.47.60,4,3,0.25,222.80,0.00
104.27.91.239,4,3,0.25,222.92,0.00
104.25.77.129,4,3,0.25,222.97,0.00
104.24.62.163,4,3,0.25,223.09,0.00
104.20.56.44,4,3,0.25,223.09,0.00
104.24.29.184,4,3,0.25,223.12,0.00
104.25.248.221,4,3,0.25,223.13,0.00
104.27.25.208,4,3,0.25,223.14,0.00
104.25.182.189,4,3,0.25,223.16,0.00
104.24.211.63,4,3,0.25,223.24,0.00
104.27.193.83,4,3,0.25,223.35,0.00
104.27.88.88,4,3,0.25,223.56,0.00
104.27.113.79,4,3,0.25,223.69,0.00
104.20.44.171,4,3,0.25,223.70,0.00
104.27.206.61,4,3,0.25,223.73,0.00
104.20.113.170,4,3,0.25,223.74,0.00
104.25.129.146,4,3,0.25,223.75,0.00
104.24.192.143,4,3,0.25,223.94,0.00
104.24.218.253,4,3,0.25,223.98,0.00
104.26.5.61,4,3,0.25,224.05,0.00
104.24.21.150,4,3,0.25,224.21,0.00
104.24.17.121,4,3,0.25,224.25,0.00
104.25.139.7,4,3,0.25,224.32,0.00
104.26.6.60,4,3,0.25,224.36,0.00
104.27.125.185,4,3,0.25,224.38,0.00
104.20.136.36,4,3,0.25,224.39,0.00
104.20.52.91,4,3,0.25,224.42,0.00
104.22.43.176,4,3,0.25,224.54,0.00
104.22.40.161,4,3,0.25,224.69,0.00
104.20.115.235,4,3,0.25,224.81,0.00
104.25.121.28,4,3,0.25,224.95,0.00
104.20.89.187,4,3,0.25,224.96,0.00
104.27.123.133,4,3,0.25,225.23,0.00
104.27.23.156,4,3,0.25,225.34,0.00
104.24.9.204,4,3,0.25,225.35,0.00
104.20.54.242,4,3,0.25,225.37,0.00
104.20.117.83,4,3,0.25,225.53,0.00
104.20.201.11,4,3,0.25,225.59,0.00
104.20.151.127,4,3,0.25,225.61,0.00
104.25.213.125,4,3,0.25,225.62,0.00
104.25.123.98,4,3,0.25,225.65,0.00
104.23.120.237,4,3,0.25,225.79,0.00
104.23.96.0,4,3,0.25,225.87,0.00
104.19.113.95,4,3,0.25,225.87,0.00
104.24.175.106,4,3,0.25,226.05,0.00
104.25.29.161,4,3,0.25,226.07,0.00
104.24.37.232,4,3,0.25,226.18,0.00
104.16.0.121,4,3,0.25,226.28,0.00
104.27.114.199,4,3,0.25,226.37,0.00
104.24.24.26,4,3,0.25,226.64,0.00
104.25.56.2,4,3,0.25,226.64,0.00
104.25.239.128,4,3,0.25,226.73,0.00
104.27.70.150,4,3,0.25,226.85,0.00
104.27.107.211,4,3,0.25,226.92,0.00
104.20.126.149,4,3,0.25,226.92,0.00
104.20.125.254,4,3,0.25,226.98,0.00
104.25.74.25,4,3,0.25,227.07,0.00
104.24.166.22,4,3,0.25,227.11,0.00
104.27.6.152,4,3,0.25,227.19,0.00
104.24.49.35,4,3,0.25,227.23,0.00
104.25.13.234,4,3,0.25,227.30,0.00
104.25.238.27,4,3,0.25,227.33,0.00
104.24.130.236,4,3,0.25,227.54,0.00
104.25.37.185,4,3,0.25,227.55,0.00
104.25.66.16,4,3,0.25,227.76,0.00
104.17.8.233,4,3,0.25,227.76,0.00
104.25.243.116,4,3,0.25,227.77,0.00
104.23.110.73,4,3,0.25,227.88,0.00
104.27.105.144,4,3,0.25,228.01,0.00
104.22.44.54,4,3,0.25,228.14,0.00
104.20.184.129,4,3,0.25,228.20,0.00
104.22.41.205,4,3,0.25,228.29,0.00
104.25.198.201,4,3,0.25,228.66,0.00
104.27.101.220,4,3,0.25,228.84,0.00
104.27.198.251,4,3,0.25,228.93,0.00
104.25.251.10,4,3,0.25,229.04,0.00
104.24.250.14,4,3,0.25,229.08,0.00
104.22.53.196,4,3,0.25,229.14,0.00
104.27.93.112,4,3,0.25,229.17,0.00
104.20.50.147,4,3,0.25,229.43,0.00
104.20.46.208,4,3,0.25,229.47,0.00
104.27.197.197,4,3,0.25,229.64,0.00
104.27.106.205,4,3,0.25,230.10,0.00
104.24.163.53,4,3,0.25,230.34,0.00
104.20.107.188,4,3,0.25,230.44,0.00
104.22.56.174,4,3,0.25,230.96,0.00
104.27.11.139,4,3,0.25,231.08,0.00
104.24.48.214,4,3,0.25,231.11,0.00
104.27.8.183,4,3,0.25,231.39,0.00
104.25.72.166,4,3,0.25,231.54,0.00
104.20.128.57,4,3,0.25,231.62,0.00
104.24.25.87,4,3,0.25,231.69,0.00
104.27.39.23,4,3,0.25,231.83,0.00
104.22.21.205,4,3,0.25,232.13,0.00
104.25.242.88,4,3,0.25,232.45,0.00
104.24.230.27,4,3,0.25,232.74,0.00
104.20.49.16,4,3,0.25,232.86,0.00
104.23.111.79,4,3,0.25,233.43,0.00
104.25.122.181,4,3,0.25,234.08,0.00
104.17.72.168,4,3,0.25,234.16,0.00
104.20.173.253,4,3,0.25,234.29,0.00
104.23.127.9,4,3,0.25,234.38,0.00
104.27.92.234,4,3,0.25,234.41,0.00
104.25.232.92,4,3,0.25,234.84,0.00
104.20.51.132,4,3,0.25,235.70,0.00
104.25.211.139,4,3,0.25,235.80,0.00
104.25.252.96,4,3,0.25,236.06,0.00
104.27.18.53,4,3,0.25,236.12,0.00
104.25.130.16,4,3,0.25,236.22,0.00
104.23.118.86,4,3,0.25,236.56,0.00
104.18.69.78,4,3,0.25,236.58,0.00
104.24.180.207,4,3,0.25,237.24,0.00
104.27.64.192,4,3,0.25,238.00,0.00
104.20.202.90,4,3,0.25,238.35,0.00
104.22.60.72,4,3,0.25,239.42,0.00
104.25.38.11,4,3,0.25,239.95,0.00
104.27.53.145,4,3,0.25,240.04,0.00
104.16.109.179,4,3,0.25,241.92,0.00
104.25.98.35,4,3,0.25,242.86,0.00
104.22.64.237,4,3,0.25,245.72,0.00
104.25.42.214,4,3,0.25,247.04,0.00
104.24.238.81,4,3,0.25,247.25,0.00
104.24.233.1,4,3,0.25,247.39,0.00
104.17.201.249,4,3,0.25,248.41,0.00
104.25.60.230,4,3,0.25,248.93,0.00
104.25.34.63,4,3,0.25,249.73,0.00
104.25.176.233,4,3,0.25,249.87,0.00
104.19.41.16,4,3,0.25,250.00,0.00
104.19.123.180,4,3,0.25,250.37,0.00
104.20.67.36,4,3,0.25,251.28,0.00
104.19.91.89,4,3,0.25,252.67,0.00
104.18.102.71,4,3,0.25,253.69,0.00
104.17.58.84,4,3,0.25,255.59,0.00
104.19.7.138,4,3,0.25,255.91,0.00
104.17.64.19,4,3,0.25,256.42,0.00
104.17.200.101,4,3,0.25,257.43,0.00
104.16.72.103,4,3,0.25,261.17,0.00
104.17.50.162,4,3,0.25,262.71,0.00
104.17.28.29,4,3,0.25,262.86,0.00
104.17.56.73,4,3,0.25,263.16,0.00
104.16.186.232,4,3,0.25,265.78,0.00
104.17.75.34,4,3,0.25,266.87,0.00
104.19.75.168,4,3,0.25,268.20,0.00
104.19.37.64,4,3,0.25,270.46,0.00
104.17.187.21,4,3,0.25,273.59,0.00
104.19.33.249,4,3,0.25,276.18,0.00
104.17.81.126,4,3,0.25,277.28,0.00
104.19.52.42,4,3,0.25,278.68,0.00
104.16.217.12,4,3,0.25,279.51,0.00
104.19.98.17,4,3,0.25,281.52,0.00
104.16.229.97,4,3,0.25,286.13,0.00
104.18.158.97,4,3,0.25,287.75,0.00
104.17.109.154,4,3,0.25,288.62,0.00
104.18.128.226,4,3,0.25,288.81,0.00
104.16.240.244,4,3,0.25,291.60,0.00
104.17.78.77,4,3,0.25,291.76,0.00
104.19.79.106,4,3,0.25,291.88,0.00
104.17.198.156,4,3,0.25,292.02,0.00
104.16.143.178,4,3,0.25,292.33,0.00
104.18.150.176,4,3,0.25,292.45,0.00
104.17.228.108,4,3,0.25,293.27,0.00
104.18.224.139,4,3,0.25,294.10,0.00
104.16.251.117,4,3,0.25,294.27,0.00
104.19.184.243,4,3,0.25,294.31,0.00
104.18.228.223,4,3,0.25,295.39,0.00
104.17.156.49,4,3,0.25,295.79,0.00
104.17.43.12,4,3,0.25,296.62,0.00
104.17.62.191,4,3,0.25,298.27,0.00
104.18.133.209,4,3,0.25,298.52,0.00
104.17.0.242,4,3,0.25,299.09,0.00
104.18.226.24,4,3,0.25,299.18,0.00
104.19.224.61,4,3,0.25,299.65,0.00
104.17.76.163,4,3,0.25,300.10,0.00
104.16.207.50,4,3,0.25,300.36,0.00
104.17.15.38,4,3,0.25,301.46,0.00
104.17.215.178,4,3,0.25,301.86,0.00
104.18.246.207,4,3,0.25,302.02,0.00
104.16.236.191,4,3,0.25,302.58,0.00
104.19.22.168,4,3,0.25,302.81,0.00
104.18.177.74,4,3,0.25,303.19,0.00
104.17.233.212,4,3,0.25,306.82,0.00
104.16.85.126,4,3,0.25,308.26,0.00
104.19.0.120,4,3,0.25,308.48,0.00
104.17.100.68,4,3,0.25,308.75,0.00
104.18.170.247,4,3,0.25,309.68,0.00
104.19.60.108,4,3,0.25,310.22,0.00
104.19.32.84,4,3,0.25,312.07,0.00
104.17.244.106,4,3,0.25,313.26,0.00
104.18.255.88,4,3,0.25,313.99,0.00
104.18.241.208,4,3,0.25,314.51,0.00
104.17.60.250,4,3,0.25,315.08,0.00
104.16.160.113,4,3,0.25,315.11,0.00
104.18.212.97,4,3,0.25,315.25,0.00
104.17.189.5,4,3,0.25,316.15,0.00
104.17.1.162,4,3,0.25,316.36,0.00
104.19.86.214,4,3,0.25,317.84,0.00
104.16.154.113,4,3,0.25,317.87,0.00
104.16.137.124,4,3,0.25,318.34,0.00
104.19.216.96,4,3,0.25,318.35,0.00
104.16.107.121,4,3,0.25,320.25,0.00
104.19.27.33,4,3,0.25,321.62,0.00
104.17.84.224,4,3,0.25,321.82,0.00
104.16.81.208,4,3,0.25,323.37,0.00
104.17.89.252,4,3,0.25,323.78,0.00
